activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
"Broadcasting audio signals through radio broadcasting studios and facilities for the transmission of aural programming to the public, to affiliates or to subscribers",100481.0,60,601,6010,Radio broadcasting,,SPC,
Brokerage for ship and aircraft space,100483.0,52,522,5229,Other transportation support activities,,SPC,
Brokerage In Commodities Listed In Foreign Markets,100484.0,66,661,6612,Security and commodity contracts brokerage,,SPC,
Building &amp; Construction Materials Trading,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SPC,
Building &amp; Construction Materials Wholesale Trading,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SPC,
Building Cleaning Equipment Trading,100489.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Building completion and finishing,100491.0,43,433,4330,Building completion and finishing,,SPC,
Building Engineering Consultancy with 3D Printing Technology,100494.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Building Hardware &amp; Tools Trading,100496.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SPC,
Building Maquette & Model Making Technical Services,100498.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Building Maquettes & Models Requisites Trading,100499.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SPC,
Building Material Manufacturing Consultancy,100500.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Building Metal Products Trading,100502.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SPC,
Buses and Trucks Trading,100513.0,45,451,4510,Sale of motor vehicles,,SPC,
"Business brokerage activities, i.e. arranging for the purchase and sale of small and medium-sized businesses, including professional practices, but not including real estate brokerage",100519.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
"Business Consultancy, Management Consultancy, Documents Clearing Services",100522.0,82,829,8299,Other business support service activities n.e.c.,,SPC,
Business Incubator,100525.0,70,702,7020,Management consultancy activities,,SPC,
Businessman services,100530.0,82,829,8299,Other business support service activities n.e.c.,,SPC,
Buying & Selling Rare Books & Manuscripts,100536.0,46,464,4649,Wholesale of other household goods,,SPC,
Cafeterias,100542.0,56,561,5610,Restaurants and mobile food service activities,,SPC,
Calculators &amp; Spare Parts Trading,100543.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,SPC,
Call Centers Services,100027.0,82,822,8220,Activities of call centres,,SPC,
Calligraphers and Painters,100547.0,74,741,7410,Specialized design activities,,SPC,
Camping Requisites Trading,100550.0,47,476,4763,Retail sale of sporting equipment in specialized stores,,SPC,
"Camps, sports instruction",100551.0,85,854,8541,Sports and recreation education,,SPC,
Canned & Preserved Food Trading,100553.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SPC,
Canned and Preserved Food Trading,100553.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SPC,
Caps &amp; Lids Trading,100555.0,46,469,4690,Non-specialized wholesale trade,,SPC,
Car Covering Services,100556.0,82,829,8299,Other business support service activities n.e.c.,,SPC,
Car Guarantee Extension Services,100558.0,52,522,5229,Other transportation support activities,,SPC,
Car Parking Systems & Equipment Trading,100559.0,47,477,4773,Other retail sale of new goods in specialized stores,,SPC,
Carbon Control Systems Trading,100566.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Card game instruction (such as bridge),100569.0,85,854,8541,Sports and recreation education,,SPC,
Cargo Containers Rental,100575.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,SPC,
Cargo Containers Trading,100576.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Cargo freight consultancy,100577.0,70,702,7020,Management consultancy activities,,SPC,
Cargo handling,100578.0,52,522,5224,Cargo handling,,SPC,
Cargo Packaging,100580.0,52,522,5224,Cargo handling,,SPC,
"Carpet and rug shampooing and drapery and curtain cleaning, whether on clients’ premises or not",100586.0,96,960,9601,Washing and (dry-) cleaning of textile and fur products,,SPC,
Carpets Trading,100591.0,46,464,4649,Wholesale of other household goods,,SPC,
Cars Accessories Trading,100592.0,45,453,4530,Sale of motor vehicle parts and accessories,,SPC,
Cars Additional Parts Trading,100592.0,45,453,4530,Sale of motor vehicle parts and accessories,,SPC,
Cars Trading for Specialized Purposes,100599.0,45,451,4510,Sale of motor vehicles,,SPC,
Cartoons Production,100603.0,59,591,5911,"Motion picture, video and television programme production activities",,SPC,
Cement &amp; Gypsum Trading,100624.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SPC,
Cement Products Trading,100626.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SPC,
Central Station Linking Services,100632.0,80,802,8020,Security systems service activities,,SPC,
Central Ventilators & Air Filters Trading,100633.0,47,477,4773,Other retail sale of new goods in specialized stores,,SPC,
Centralized administrative offices,100634.0,70,701,7010,Activities of head offices,,SPC,
Ceramic & Chinaware Trading,100635.0,46,464,4649,Wholesale of other household goods,,SPC,
Chandeliers Trading,100645.0,46,464,4649,Wholesale of other household goods,,SPC,
Charcoal & Firewood Trading,100646.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,SPC,
Cheerleading instruction,100649.0,85,854,8541,Sports and recreation education,,SPC,
Chemical Fertilizers Trading,100656.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SPC,
Chemical industries consultancy,100658.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
"Child day-care activities, including for handicapped children",100666.0,88,889,8890,Other social work activities without accommodation,,SPC,
"Children Books Publishing, Education Services",100670.0,58,581,5811,Book publishing,,SPC,
Children Carts Rental,100671.0,77,772,7729,Renting and leasing of other personal and household goods,,SPC,
Children Games & Baby Care Requisites Rental,100673.0,77,772,7721,Renting and leasing of recreational and sports goods,,SPC,
Choreography,100685.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
City Cleaning Equipment Trading,100692.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Civil Engineering Consultancy,100695.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Classic Cars Trading,100701.0,45,451,4510,Sale of motor vehicles,,SPC,
Cleaning of industrial machinery,100706.0,81,812,8129,Other building and industrial cleaning activities,,SPC,
Cleaning of new buildings after construction,100707.0,43,433,4330,Building completion and finishing,,SPC,
Cleaning of the inside of road and sea tankers,100708.0,81,812,8129,Other building and industrial cleaning activities,,SPC,
"Cleaning of trains, buses, planes, etc.",100709.0,81,812,8129,Other building and industrial cleaning activities,,SPC,
Cleanroom Systems Trading,100711.0,47,477,4773,Other retail sale of new goods in specialized stores,,SPC,
Cloth Hangers Trading,100716.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,SPC,
Cloud Computing Services,100723.0,63,631,6311,"Data processing, hosting and related activities",,SPC,
Coastal Engineering Consultancies,100731.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
coffee shops,100736.0,56,563,5630,Beverage serving activities,,SPC,
Coffee Trading,100735.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SPC,
Collateral Management Services,100741.0,66,661,6619,Other activities auxiliary to financial service activities,,SPC,
Collecting of waste ships oil,100744.0,38,381,3812,Collection of hazardous waste,,SPC,
Collection Agencies And Credit Bureaus,100745.0,82,829,8291,Activities of collection agencies and credit bureaus,,SPC,
collection of letter-mail and parcels from public letter-boxes or from post offices,100749.0,53,531,5310,Postal activities,,SPC,
"Collection of payments for claims and remittance of payments collected to the clients, such as bill or debt collection services",100751.0,82,829,8291,Activities of collection agencies and credit bureaus,,SPC,
collection of recyclable materials,100752.0,38,381,3811,Collection of non-hazardous waste,,SPC,
College board preparation,100757.0,85,854,8549,Other education n.e.c.,,SPC,
Color Separation Services,100758.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
