activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
"Elaboration of projects using air conditioning, refrigeration, sanitary and pollution control engineering, acoustical engineering etc.",101214.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
Electrical installation,101238.0,43,432,4321,Electrical installation,,SHAMS,
"Electrical, plumbing and other construction installation activities",101242.0,43,432,4321,Electrical installation,,SHAMS,
Electronic Chips Designing and Programing,101254.0,62,620,6202,Computer programming activities,,SHAMS,
Electronic Directory,101259.0,63,639,6391,"Data processing, hosting and related activities",,SHAMS,
Electronic Equipment and Devices Systems and Software Designing,101261.0,62,620,6202,Computer programming activities,,SHAMS,
Electronic Integration,101268.0,61,611,6110,Wired telecommunications activities,,SHAMS,
Electronic publishing and software implementation & Training,101272.0,85,855,8550,Educational support activities,,SHAMS,
Engineering consultancy,101302.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
Engineering consultancy of ship building,101305.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
"Engineering design (i.e. applying physical laws and principles of engineering in the design of machines, materials, instruments, structures, processes and systems) and consulting activities for:
 • Machinery, industrial processes and industrial plant
 • Projects involving civil engineering, hydraulic engineering, traffic engineering
 • Water management projects
 • Projects elaboration and realization relative to electrical and electronic engineering, mining engineering, chemical engineering, mechanical, industrial and systems engineering, safety engineering
 • Project management activities related to construction",101306.0,74,741,7410,Specialized design activities,,SHAMS,
Engraving or etching of cylinders for gravure,101312.0,18,181,1812,Service activities related to printing,,SHAMS,
Entertainment Services and Contracting,101317.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Environmental consulting,101326.0,70,702,7020,Management consultancy activities,,SHAMS,
Environmental engineering Consultancy,101327.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SHAMS,
Equipment trading of e-games and entertainment halls,101338.0,46,464,4649,Wholesale of other household goods,,SHAMS,
"Esearch and experimental development on natural science and engineering:
 • Research and development on natural sciences
 • Research and development on engineering and technology
 • Research and development on medical sciences
 • Research and development on biotechnology
 • Research and development on agricultural sciences
 • Interdisciplinary research and development, predominantly on natural sciences and engineering",101341.0,72,721,7210,Research and experimental development on natural sciences and engineering,,SHAMS,
Event catering,101344.0,56,562,5621,Event catering,,SHAMS,
Event catering,101344.0,56,562,5621,Event catering,,SHAMS,
Event catering and other food service activities,101344.0,56,562,5621,Event catering,,SHAMS,
Event organizing,101346.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Events Production,101347.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Examination of accounts and certification of their accuracy,101352.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SHAMS,
Exhibition Organizing,101358.0,82,829,8299,Organization of conventions and trade shows,,SHAMS,
