activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Bricks Trading,100478.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,Meydan,
"Broadcasting Audio Signals Through Radio Broadcasting Studios And Facilities For The Transmission Of Aural Programming To The Public, To Affiliates Or To Subscribers",100481.0,60,601,6010,Radio broadcasting,,Meydan,
Brokerage In Commodities Listed In Foreign Markets,100484.0,66,661,6612,Security and commodity contracts brokerage,,Meydan,
Brokerage In Commodities Listed In Local Markets,100485.0,66,661,6612,Security and commodity contracts brokerage,,Meydan,
Brokerage In Local Securities,100485.0,66,661,6612,Security and commodity contracts brokerage,,Meydan,
Brokerage In Securities Listed In Foreign Markets,100484.0,66,661,6612,Security and commodity contracts brokerage,,Meydan,
Building & Construction Materials Trading,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,Meydan,
Building & Construction Materials Wholesale Trading,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,Meydan,
Building Cleaning Equipment Trading,100489.0,46,465,4659,Wholesale of other machinery and equipment,,Meydan,
Building Cleaning Services,100490.0,81,812,8129,Other building and industrial cleaning activities,,Meydan,
Building Facades Cladding Engineering Design,100495.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Meydan,
Building Hardware & Tools Trading,100496.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,Meydan,
Building Inspection Services,100497.0,71,712,7120,Technical testing and analysis,,Meydan,
Building Maquette & Model Making Technical Services,100498.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Meydan,
Building Maquettes & Models Requisites Trading,100499.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,Meydan,
Building Mechanical Engineering Services,100500.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Meydan,
Building Metal Products Trading,100502.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,Meydan,
Buildings & Civil Works Inspection Engineering Services,100497.0,71,712,7120,Technical testing and analysis,,Meydan,
Buildings Electrical Engineering Services,100509.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Meydan,
Buildings Energy Efficiency Services,100510.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Meydan,
Bus Management & Operation,100512.0,52,522,5221,Service activities incidental to land transportation,,Meydan,
Buses Rental,100515.0,77,771,7710,Renting and leasing of motor vehicles,,Meydan,
"Business Brokerage Activities, I.E. Arranging For The Purchase And Sale Of Small And Medium-Sized Businesses, Including Professional Practices, But Not Including Real Estate Brokerage",100519.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,Meydan,
Business Incubator,100525.0,70,702,7020,Management consultancy activities,,Meydan,
Business Support Service Activities N.E.C.,100528.0,82,829,8290,Business support service activities n.e.c.,,Meydan,
Businesses Valuation Services,100529.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Meydan,
Businessman Services,100530.0,82,829,8299,Other business support service activities n.e.c.,,Meydan,
Butterfly Park,100534.0,91,910,9103,Botanical and zoological gardens and nature reserves activities,,Meydan,
Buying and selling of real estate,100535.0,68,681,6810,Real estate activities with own or leased property,,Meydan,
Cable Tv & Satellite Channels Establishing & Managing,100539.0,61,611,6110,Wired telecommunications activities,,Meydan,
Cable Tv Channel,100540.0,61,611,6110,Wired telecommunications activities,,Meydan,
Cafeterias,100542.0,56,561,5610,Restaurants and mobile food service activities,,Meydan,
Calculators & Spare Parts Trading,100543.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,Meydan,
Call Centers Services,100027.0,82,822,8220,Activities of call centres,,Meydan,
Call Centres,100545.0,82,822,8220,Activities of call centres,,Meydan,
Calligraphers & Painters,100547.0,74,741,7410,Specialized design activities,,Meydan,
Camels & Horses Hiring,100548.0,93,932,9321,Activities of amusement parks and theme parks,,Meydan,
"Camping Grounds, Recreational Vehicle Parks And Trailer Parks",100549.0,55,552,5520,"Camping grounds, recreational vehicle parks and trailer parks",,Meydan,
Camping Requisites Trading,100550.0,47,476,4763,Retail sale of sporting equipment in specialized stores,,Meydan,
"Camps, Sports Instruction",100551.0,85,854,8541,Sports and recreation education,,Meydan,
Canned & Preserved Food Trading,100553.0,46,463,4630,"Wholesale of food, beverages and tobacco",,Meydan,
Caps & Lids Trading,100555.0,46,469,4690,Non-specialized wholesale trade,,Meydan,
Car Covering Services,100556.0,82,829,8299,Other business support service activities n.e.c.,,Meydan,
Car Guarantee Extension Services,100558.0,52,522,5229,Other transportation support activities,,Meydan,
Car Parking Systems & Equipment Trading,100559.0,47,477,4773,Other retail sale of new goods in specialized stores,,Meydan,
Car Rental,100561.0,77,771,7710,Renting and leasing of motor vehicles,,Meydan,
Car Washing & Cleaning,100563.0,81,812,8129,Other building and industrial cleaning activities,,Meydan,
Caravans Rental,100565.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,Meydan,
Carbon Control Systems Trading,100566.0,46,465,4659,Wholesale of other machinery and equipment,,Meydan,
Card Game Instruction (Such As Bridge),100569.0,85,854,8541,Sports and recreation education,,Meydan,
Cardiac Clinic,100570.0,86,862,8620,Medical and dental practice activities,,Meydan,
Cargo Containers Rental,100575.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,Meydan,
Cargo Containers Trading,100576.0,46,465,4659,Wholesale of other machinery and equipment,,Meydan,
Cargo Freight Consultancy,100577.0,70,702,7020,Management consultancy activities,,Meydan,
Cargo Handling,100578.0,52,522,5224,Cargo handling,,Meydan,
Cargo Loading & Unloading Services,100579.0,52,522,5224,Cargo handling,,Meydan,
Cargo Packaging,100580.0,52,522,5224,Cargo handling,,Meydan,
"Carpet And Rug Shampooing And Drapery And Curtain Cleaning, Whether On Clients Premises Or Not",100586.0,96,960,9601,Washing and (dry-) cleaning of textile and fur products,,Meydan,
Carpets & Textiles Mending,100589.0,96,960,9601,Washing and (dry-) cleaning of textile and fur products,,Meydan,
Cartoons Production,100603.0,59,591,5911,"Motion picture, video and television programme production activities",,Meydan,
