activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Computer Equipment and Requisites Trading,100796.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,SRTIP,
Computer Networks Fittings,100800.0,62,620,6202,Computer consultancy and computer facilities management activities,,SRTIP,
Computer Skills Training Services,100805.0,85,854,8549,Other education n.e.c.,,SRTIP,
Computer Software Training,100806.0,85,854,8549,Other education n.e.c.,,SRTIP,
Computer System Housing Services,100807.0,63,631,6311,"Data processing, hosting and related activities",,SRTIP,
Computer Systems and Software Designing,100810.0,62,620,6201,Computer programming activities,,SRTIP,
Computer Systems And Software Trading,100809.0,46,465,4651,"Wholesale of computers, computer peripheral equipment and software",,SRTIP,
Computer Training,100813.0,85,854,8549,Other education n.e.c.,,SRTIP,
Confectionery and Chocolate Trading,100825.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
Construction Chemicals,100833.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,SRTIP,
Construction Engineering Consultancy,100836.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Construction Equipment and Machinery Spare Parts Trading,100839.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
Construction Equipment and Machinery Trading,100840.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
Construction Metal Structures Trading,100843.0,46,466,4662,Wholesale of metals and metal ores,,SRTIP,
Consultancy and Studies and Researches in Renewable Energy,100856.0,72,721,7210,Research and experimental development on natural sciences and engineering,,SRTIP,
Consultancy of Survey Engineering,100858.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Consulting and Research and Development in The Field of Technology Education,100863.0,72,721,7210,Research and experimental development on natural sciences and engineering,,SRTIP,
Consulting Engineering for Green Buildings,100865.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Consulting in Animal Behavior,100209.0,75,750,7500,Veterinary activities,,SRTIP,
Consulting maintenance and technical operation solutions for industrial machines,100869.0,70,702,7020,Management consultancy activities,,SRTIP,
Consulting Technical Equipment and Technical,100870.0,70,702,7020,Management consultancy activities,,SRTIP,
Converting Industries Equipment and Machinery Rental,100884.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,SRTIP,
Cookers and Cookstoves Trading,100888.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,SRTIP,
Cooking Consultancy,100890.0,70,702,7020,Management consultancy activities,,SRTIP,
Cooking Oil Mobile Microfiltration,100891.0,38,382,3821,Treatment and disposal of non-hazardous waste,,SRTIP,
Corporate Services Provider (CSP),100781.0,70,701,7010,Activities of head offices,,SRTIP,
Cosmetics and Personal Care Preservatives Manufacturing,100907.0,20,202,2029,Manufacture of other chemical products n.e.c.,,SRTIP,
Cosmetics Manufacturing,100908.0,32,329,3290,Other manufacturing n.e.c.,,SRTIP,
Cost Control and Risk Management Services,100910.0,70,702,7020,Management consultancy activities,,SRTIP,
Costume Design Services,100911.0,74,741,7410,Specialized design activities,,SRTIP,
Cotton and Natural Fibers Trading,100914.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,SRTIP,
Courier Services (Branch),100916.0,53,532,5320,Courier activities,,SRTIP,
Crane Rails and Fixing Accessories Trading,100919.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SRTIP,
Crude Oil Abroad Trading,100937.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,SRTIP,
Crystal Products Trading,100948.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Curtains and Upholstery Fabrics Trading,100955.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,SRTIP,
Curtains Preparing,100957.0,95,952,9524,Repair of furniture and home furnishings,,SRTIP,
"Curtains, Sheets and Blankets Cleaning",100958.0,96,960,9601,Washing and (dry-) cleaning of textile and fur products,,SRTIP,
Customer Care Center,100961.0,82,829,8299,Other business support service activities n.e.c.,,SRTIP,
Customs Clearance Services,100964.0,52,522,5229,Other transportation support activities,,SRTIP,
Customs Consultancy,100965.0,70,702,7020,Management consultancy activities,,SRTIP,
Cutlery and Silverware Trading,100966.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Cyber Risk Management Services,100975.0,62,620,6202,Computer consultancy and computer facilities management activities,,SRTIP,
Cyber Security Consultancy,100977.0,62,620,6202,Computer consultancy and computer facilities management activities,,SRTIP,
Dairy Products Trading,100980.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
Data Classification and Analysis Services,100985.0,63,631,6311,"Data processing, hosting and related activities",,SRTIP,
Data Collection from One or More Sources,100986.0,63,631,6311,"Data processing, hosting and related activities",,SRTIP,
Data Entering Services,100987.0,63,631,6311,"Data processing, hosting and related activities",,SRTIP,
Data Preparation Services,100989.0,63,631,6311,"Data processing, hosting and related activities",,SRTIP,
Data Storing and Recovering,100992.0,63,631,6311,"Data processing, hosting and related activities",,SRTIP,
Databases Designing Services ,100993.0,62,620,6201,Computer programming activities,,SRTIP,
Dates Trading,100999.0,47,472,4721,Retail sale of food in specialized stores,,SRTIP,
Decoration Design and Implementation Using 3D Printing Technology,101009.0,74,741,7410,Specialized design activities,,SRTIP,
Decoration Materials and Partitions Trading,101010.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SRTIP,
Department Store,101022.0,47,471,4719,Other retail sale in non-specialized stores,,SRTIP,
